10	11	12	16	6	12	10	11	10	4	8	14	8	10	11	11	10	9	10	7	68	227	173	34	54	75	149	220	78	11	5	6	11	7	9	14	14	12	13	9	15	11	7	9	13	12	5	8	10	12	13	12	10	10	13	8	8	5	4	18	5	8	13	12	12	24	44	22	9	7	9	8	12	10	12	9	13	6	10	5	9	8	15	11	11	11	7	11	11	6	11	8	12	9	11	11	10	12	9	6	10	9	7	16	38	38	13	10	9	14	127	229	96	8	34	148	181	61	14	8	8	12	10	10	7	7	13	8	5	11	13	7	11	10	5	28	111	105	27	11	10	11	11	22	32	16	11	10	10	15	109	188	79	9	12	10	8	8	10	7	8	13	10	5	10	12	11	10	9	10	12	14	13	9	10	12	7	9	7	68	170	113	20	8	11	10	6	8	12	58	177	137	21	9	7	11	10	10	9	9	6	9	13	14	8	7	11	10	11	12	12	6	11	11	12	11	14	6	11	10	9	15	8	12	6	8	10	14	9	12	11	9	13	17	10	13	14	13	10	10	8	9	9	23	63	47	103	172	80	5	10	10	11	12	16	8	8	12	10	12	11	11	12	10	9	5	14	7	8	10	9	10	10	10	14	10	10	11	10	14	9	6	8	6	11	11	5	16	5	6	11	5	10	7	12	9	15	12	12	13	11	13	11	10	13	11	8	8	9	9	9	11	13	23	34	20	7	9	11	10	12	13	12	7	8	11	12	8	12	6	9	10	11	11	10	12	9	11	10	6	13	62	71	22	9	9	11	13	6	10	15	9	14	8	10	11	11	8	7	28	50	33	13	7	9	8	9	13	7	7	36	50	24	12	10	10	9	14	9	11	8	9	11	11
10	7	5	8	8	13	12	10	11	10	7	5	7	15	11	8	12	27	91	70	111	255	255	54	13	15	92	137	56	8	3	7	12	5	13	9	9	6	8	7	11	9	12	7	7	9	12	10	11	8	12	11	13	11	14	9	9	7	10	7	12	8	8	14	6	11	12	9	12	14	6	12	10	12	13	12	12	8	10	8	10	11	2	11	10	12	9	8	16	10	11	13	11	15	16	10	8	9	12	15	23	19	10	29	141	169	79	94	56	15	63	118	53	12	13	41	123	163	59	7	9	5	14	15	9	10	10	6	11	13	8	7	16	14	11	11	17	17	11	10	9	12	12	11	9	13	11	8	10	12	28	42	23	12	6	12	12	12	10	10	10	14	11	9	7	11	10	10	10	12	34	114	105	25	10	14	9	11	10	73	199	129	21	12	12	6	9	12	11	18	41	34	9	8	12	12	12	13	10	11	6	10	13	10	8	8	13	12	8	4	10	11	12	27	118	94	20	11	9	6	10	10	9	7	11	7	7	11	13	7	9	7	10	9	12	11	9	6	12	15	12	8	17	10	9	17	183	255	114	10	9	12	13	13	12	12	6	9	10	12	11	11	9	11	5	11	11	9	10	11	11	9	6	10	10	14	18	14	9	8	12	8	14	11	12	14	13	12	9	10	12	8	12	16	55	52	16	8	9	12	7	11	9	12	9	14	10	11	10	14	11	11	3	10	10	12	13	9	6	6	11	9	11	7	7	11	13	12	12	5	9	9	12	13	8	13	12	7	12	12	12	9	11	28	55	32	12	9	10	8	12	10	12	9	10	12	11	6	11	4	12	13	8	11	12	12	14	7	10	22	132	193	73	12	10	15	6	8	12	12	8	5	14	14
10	17	13	0	10	8	6	9	5	13	6	11	14	10	11	9	13	52	202	175	65	163	145	30	10	6	15	17	11	14	11	13	11	14	15	8	8	9	11	11	8	7	13	8	6	9	9	12	10	10	13	11	9	13	11	13	8	10	8	10	8	10	8	10	10	10	7	9	12	8	4	10	9	13	9	13	15	9	13	13	10	6	8	8	10	15	10	10	10	9	11	11	6	10	9	16	7	11	9	41	137	100	20	30	146	166	129	227	133	12	8	11	11	15	12	27	143	216	76	11	7	10	9	16	13	9	13	11	14	13	9	11	8	8	10	11	6	11	15	8	15	29	43	22	12	12	12	10	8	11	12	10	5	11	10	7	14	6	9	8	9	11	11	11	10	12	11	11	9	12	55	205	174	35	11	12	8	6	13	19	51	34	5	11	10	8	4	3	11	15	12	10	12	13	17	10	7	12	7	11	12	8	10	9	8	15	6	11	9	6	10	11	17	84	224	176	29	10	9	13	8	7	9	12	9	9	10	10	10	12	12	10	7	9	9	9	11	17	16	13	11	10	12	14	13	26	187	255	82	12	11	11	8	6	10	17	12	11	10	7	11	9	14	12	13	9	9	9	11	13	13	11	16	10	12	6	12	11	11	7	12	5	8	7	12	12	9	11	10	10	14	8	9	42	180	180	41	11	7	8	12	13	11	11	9	10	12	13	9	12	10	10	11	16	13	9	8	7	11	9	8	9	9	10	13	15	9	10	13	13	12	9	17	14	8	12	10	12	7	8	9	7	12	72	199	130	22	8	10	10	10	14	5	11	8	10	11	6	7	16	12	9	6	9	7	8	9	15	4	19	110	167	61	7	15	15	77	111	41	8	13	16	10	12
11	10	12	10	10	7	9	8	8	12	6	13	12	11	8	12	20	98	195	116	23	13	16	13	12	9	13	10	9	12	5	6	6	9	15	5	11	7	8	9	10	12	14	9	9	11	9	8	13	8	11	10	8	13	11	14	7	11	11	12	10	25	72	62	19	10	25	21	9	12	9	8	13	10	13	13	4	8	13	54	92	45	12	10	20	39	30	12	6	7	10	15	9	8	10	12	9	6	10	64	212	160	26	13	32	36	61	124	75	17	8	7	13	13	9	67	179	132	27	12	14	7	9	11	15	12	10	11	8	12	8	11	10	14	11	10	7	9	8	7	22	122	188	71	8	8	8	8	9	7	13	11	7	9	11	12	8	7	9	9	11	11	6	12	10	8	11	9	8	4	28	84	77	17	9	12	18	12	4	7	12	10	14	10	8	15	8	10	9	12	7	9	10	15	14	7	10	18	8	10	10	8	9	9	9	11	10	14	11	10	13	8	55	195	212	93	20	10	10	16	11	6	11	17	10	10	10	13	10	14	9	6	14	9	12	11	4	21	100	117	33	10	14	16	6	14	83	109	34	13	12	8	12	12	9	8	13	14	10	11	8	9	7	12	16	16	11	10	17	11	31	67	40	12	11	12	12	10	10	10	8	13	9	10	10	9	7	10	10	11	8	8	8	36	134	136	36	8	12	6	11	12	10	7	11	8	15	12	13	8	4	10	9	16	24	32	20	6	6	8	10	12	11	10	12	12	13	10	13	11	7	7	8	9	10	14	22	17	11	17	7	14	11	58	168	111	18	15	25	26	13	7	12	10	10	10	13	6	7	9	8	7	11	12	13	7	10	12	9	13	25	35	19	8	10	27	227	255	156	19	9	13	11	12
13	9	12	9	6	10	40	53	26	9	14	10	12	8	8	12	34	173	207	53	12	10	7	15	15	9	9	18	61	76	23	10	14	11	12	17	11	9	8	12	7	8	8	4	7	10	14	13	8	10	11	12	8	13	10	15	10	7	7	14	17	49	199	173	37	84	156	83	13	9	8	13	11	4	11	10	9	11	15	131	226	95	10	10	43	169	150	30	7	11	10	10	11	12	8	11	17	10	8	29	70	60	8	14	7	11	11	12	17	8	11	10	8	7	10	94	222	124	13	5	8	13	7	9	11	7	12	11	12	11	7	13	9	7	8	12	3	12	13	5	20	139	249	120	13	12	11	14	13	10	12	12	15	11	10	9	11	13	10	15	6	6	11	10	9	8	14	15	14	11	8	8	12	14	8	76	130	56	8	11	7	10	7	9	12	12	13	10	12	7	10	11	5	15	12	11	8	14	9	2	17	10	9	15	27	53	54	20	7	11	12	9	58	181	137	18	10	11	28	26	19	11	9	10	9	9	6	8	9	3	14	10	12	6	8	11	11	35	174	198	48	50	95	54	14	12	4	14	10	10	12	10	12	10	14	10	8	11	7	9	11	12	12	15	10	13	12	5	13	11	93	214	119	10	11	12	13	10	4	11	9	11	11	12	12	11	14	10	11	14	12	10	18	68	84	33	13	5	11	9	12	11	11	10	8	8	8	10	11	8	4	11	8	14	98	171	78	17	9	9	8	6	7	10	11	10	10	11	11	9	9	10	11	13	9	68	159	97	13	6	7	10	9	16	32	25	9	58	152	106	16	5	4	13	7	7	13	11	9	7	8	8	9	6	7	5	14	10	9	16	30	32	15	7	7	21	169	255	148	17	11	12	7	10
12	13	9	7	8	18	131	201	77	8	7	10	10	20	78	108	52	100	116	31	6	12	6	6	12	8	12	30	170	199	51	10	11	12	10	10	4	11	13	10	10	11	10	8	10	7	11	10	9	5	9	9	9	4	9	14	8	8	8	12	12	40	129	112	23	105	220	106	7	13	12	7	10	10	5	9	12	9	14	74	129	59	10	7	45	170	143	29	12	12	10	13	11	7	9	10	11	10	9	9	12	11	28	98	85	17	13	6	10	10	6	11	12	10	7	38	85	53	10	13	8	13	12	12	8	12	8	9	11	8	8	12	10	10	7	14	12	10	13	8	12	74	229	183	31	11	10	11	15	12	9	12	13	8	6	8	10	11	13	13	11	11	12	9	10	13	8	15	11	9	10	10	6	8	12	133	227	97	12	8	11	9	11	16	11	5	13	9	10	11	13	11	12	11	16	8	13	13	44	95	54	13	11	8	53	191	168	35	11	9	9	7	17	47	32	8	9	25	125	148	41	7	7	10	10	11	9	10	8	14	15	8	9	11	14	9	13	18	77	82	33	112	233	112	8	9	14	9	10	9	10	13	7	5	7	7	12	11	12	11	11	9	13	11	8	9	8	9	8	14	66	162	92	15	11	11	12	11	9	11	11	13	7	7	3	11	12	9	8	10	15	10	39	188	185	44	7	7	7	11	10	11	8	9	4	14	6	24	71	55	19	12	8	17	111	202	85	9	9	10	16	7	11	12	11	9	14	5	5	11	7	16	32	43	19	90	215	118	17	12	8	8	11	9	11	12	12	76	207	130	17	7	8	10	11	13	9	9	8	13	12	14	7	6	12	9	14	7	13	25	141	157	41	8	9	8	29	58	40	7	11	9	16	10
8	7	13	8	10	17	113	173	60	9	7	13	11	26	158	218	65	11	14	9	13	12	6	14	10	9	5	22	111	130	38	9	6	9	9	10	9	11	15	12	9	9	13	11	10	13	14	12	11	12	11	7	11	7	13	9	7	13	6	12	5	10	18	18	12	32	63	38	10	11	12	12	7	10	8	10	9	11	7	17	16	17	6	10	15	35	31	13	10	12	10	11	12	12	8	9	14	10	11	10	10	12	52	206	182	32	8	9	11	13	10	11	7	10	14	4	9	10	15	15	8	13	12	10	9	8	12	13	15	7	5	12	12	7	10	13	38	39	16	9	12	34	127	113	22	9	7	11	10	16	12	11	7	7	10	11	8	21	104	114	30	9	11	8	10	9	13	3	7	7	6	12	4	5	10	56	94	47	11	10	13	6	11	14	6	9	12	6	11	16	8	9	11	12	11	10	12	9	95	227	127	14	7	8	38	145	125	25	8	11	10	15	8	9	10	13	5	30	167	195	54	8	10	10	9	11	12	7	9	10	11	6	7	9	8	11	11	12	12	7	9	63	128	63	11	7	9	12	11	9	11	9	7	11	9	6	9	11	15	12	6	14	12	9	13	26	94	94	23	12	16	23	25	8	7	7	10	12	9	9	12	10	9	11	10	10	13	10	10	12	14	9	32	120	120	31	10	8	11	6	11	6	14	15	9	6	13	76	230	173	27	9	10	11	34	56	28	7	11	11	9	8	12	12	11	5	6	6	9	12	13	15	118	185	69	30	70	36	12	7	3	7	9	14	7	13	11	26	64	42	12	10	8	9	5	13	5	8	7	11	11	13	11	6	9	16	10	8	8	32	161	183	46	12	9	10	10	9	10	14	13	11	16	14
8	12	5	9	9	8	26	38	16	3	5	11	9	19	78	106	40	8	11	12	11	13	11	13	9	11	5	14	15	17	14	10	6	9	8	11	12	10	5	14	8	10	13	13	9	9	13	10	11	11	12	11	5	13	11	11	11	5	4	11	9	11	6	13	7	11	9	9	10	6	13	13	9	8	11	10	7	8	8	7	12	12	15	10	12	11	2	16	10	12	7	11	10	12	17	11	11	10	15	20	15	9	27	99	88	22	13	13	9	9	10	12	11	12	11	8	8	6	12	8	11	11	9	10	16	8	9	8	9	9	11	12	12	12	10	24	131	179	57	11	10	11	18	18	16	8	11	23	18	13	10	11	7	9	4	10	11	32	177	202	52	14	11	10	12	12	12	7	13	11	6	15	11	16	11	7	9	6	12	4	12	13	21	82	79	24	7	14	11	12	10	9	7	9	10	13	12	8	59	129	70	15	8	8	14	23	24	9	9	10	11	7	15	11	12	11	9	15	52	60	24	9	13	15	10	8	10	8	11	7	9	8	11	7	14	10	7	10	8	9	10	10	14	16	15	11	4	14	8	12	9	10	8	9	12	6	11	11	10	13	9	4	12	13	8	39	194	193	41	14	9	11	9	10	14	13	7	11	10	8	10	6	12	8	9	11	8	12	11	11	9	15	12	18	20	19	73	85	25	10	8	13	11	13	6	9	11	92	255	216	34	16	12	13	13	13	11	12	12	9	14	7	14	9	13	8	10	7	8	9	12	15	122	184	66	7	7	10	9	9	13	8	14	15	8	8	10	8	6	15	13	10	12	12	6	4	13	12	16	11	7	6	13	10	7	4	10	8	12	15	39	51	17	11	9	12	9	18	63	115	50	15	10	15
8	12	11	10	10	13	6	10	9	9	15	6	12	11	10	18	19	12	15	9	8	8	10	13	12	9	12	12	8	11	8	7	12	10	15	12	12	7	9	10	6	8	8	11	5	9	5	14	11	9	11	10	10	4	8	10	14	12	10	14	8	7	8	11	13	13	9	10	14	5	10	8	9	12	17	13	15	8	7	9	10	12	11	8	11	8	2	7	11	9	5	8	9	12	11	6	6	15	93	140	56	13	8	6	13	7	7	8	12	10	3	7	14	8	8	6	13	10	9	8	15	10	12	9	11	8	12	14	11	12	8	7	11	7	14	25	136	181	59	9	11	10	11	10	13	11	83	148	62	7	12	13	10	15	9	8	15	20	83	95	28	6	11	10	15	11	10	8	11	13	8	7	12	10	5	10	8	15	4	11	10	12	41	188	190	46	55	93	42	8	7	7	10	10	8	6	9	12	15	17	14	10	13	11	8	10	10	5	4	15	11	7	8	9	11	13	13	6	8	13	10	13	11	15	10	12	9	9	9	8	16	14	32	27	12	13	18	48	46	14	13	12	10	56	126	76	12	8	7	13	7	12	12	14	12	9	4	9	14	13	10	10	9	10	13	30	92	96	28	8	12	8	10	7	7	9	10	5	9	14	7	10	8	9	11	10	12	8	12	13	11	14	9	11	11	34	175	205	56	7	11	13	6	11	11	9	14	60	202	153	21	12	15	5	7	9	16	10	8	13	9	8	7	5	9	13	9	8	6	10	8	11	33	40	22	11	11	12	10	7	10	10	11	8	11	10	9	13	23	17	13	10	10	7	13	15	10	6	9	14	10	11	8	12	9	9	11	11	11	10	12	9	9	9	10	3	12	11	128	231	95	10	9	12
8	10	11	8	6	12	10	14	11	9	8	7	8	11	16	92	141	67	89	73	19	6	13	9	4	13	39	50	20	13	6	7	10	7	10	6	10	10	5	12	7	10	8	7	13	10	9	7	13	11	12	11	15	8	12	10	8	11	12	6	12	12	12	12	13	12	12	11	12	12	4	8	9	10	12	8	9	9	10	11	10	10	13	16	9	11	12	8	7	8	7	13	8	9	6	14	7	22	141	218	78	8	8	9	10	13	9	5	12	12	9	13	50	78	34	11	8	18	4	8	8	10	14	13	15	12	11	17	8	9	11	4	15	11	8	8	32	38	18	10	42	81	44	9	13	15	122	225	97	8	10	12	14	11	11	10	9	20	92	140	52	14	9	10	13	13	8	6	9	10	8	10	5	10	13	11	12	9	12	11	12	13	25	109	107	28	123	228	95	8	10	12	13	11	14	13	8	10	12	8	13	10	14	11	10	12	10	8	13	13	22	57	50	19	15	8	11	11	4	13	13	8	9	8	12	14	9	9	9	13	12	50	162	125	22	13	41	182	161	38	15	9	11	94	230	130	17	8	11	7	7	9	14	10	10	12	9	7	9	6	11	11	5	13	13	14	10	9	10	11	7	14	12	10	9	11	11	6	13	13	10	8	8	11	10	10	10	8	6	8	21	9	11	14	6	24	101	118	32	9	12	11	12	7	5	11	10	23	50	40	26	84	80	25	10	12	15	10	8	10	10	13	8	12	9	8	12	7	10	15	9	9	11	15	11	11	11	9	14	7	10	10	13	9	10	12	9	84	158	81	9	14	11	14	13	13	15	10	11	7	12	11	11	6	10	8	9	10	14	12	11	7	6	11	12	10	11	13	68	119	49	11	12	10
