1	128.50000000	272.50000000	32	32
2	160.50000000	272.50000000	32	32
3	192.50000000	272.50000000	32	32
4	224.50000000	272.50000000	32	32
5	256.50000000	272.50000000	32	32
6	128.50000000	304.50000000	32	32
7	160.50000000	304.50000000	32	32
8	192.50000000	304.50000000	32	32
9	224.50000000	304.50000000	32	32
10	256.50000000	304.50000000	32	32
11	128.50000000	336.50000000	32	32
12	160.50000000	336.50000000	32	32
13	192.50000000	336.50000000	32	32
14	224.50000000	336.50000000	32	32
15	256.50000000	336.50000000	32	32
16	128.50000000	368.50000000	32	32
17	160.50000000	368.50000000	32	32
18	192.50000000	368.50000000	32	32
19	224.50000000	368.50000000	32	32
20	256.50000000	368.50000000	32	32
21	128.50000000	400.50000000	32	32
22	160.50000000	400.50000000	32	32
23	192.50000000	400.50000000	32	32
24	224.50000000	400.50000000	32	32
25	256.50000000	400.50000000	32	32
